title,authors,num_authors,abstract,abstract_length,year,journal_ref,venue,reference_count,influential_citations,citations,citations_per_year,age_years,category,category_code,link,pdf_url,canonical_link,arxiv_id
Stability Analysis for Regularized Least Squares Regression,Cynthia Rudin,1,"We discuss stability for a class of learning algorithms with respect to noisy labels. The algorithms we consider are for regression, and they involve the minimization of regularized risk functionals, such as L(f) := 1/N sum_i (f(x_i)-y_i)^2+ lambda ||f||_H^2. We shall call the algorithm `stable' if, when y_i is a noisy version of f*(x_i) for some function f* in H, the output of the algorithm converges to f* as the regularization term and noise simultaneously vanish. We consider two flavors of this problem, one where a data set of N points remains fixed, and the other where N -> infinity. For the case where N -> infinity, we give conditions for convergence to f_E (the function which is the expectation of y(x) for each x), as lambda -> 0. For the fixed N case, we describe the limiting 'non-noisy', 'non-regularized' function f*, and give conditions for convergence. In the process, we develop a set of tools for dealing with functionals such as L(f), which are applicable to many other problems in learning theory.",1023,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0502016v1,https://arxiv.org/pdf/cs/0502016v1.pdf,http://arxiv.org/abs/cs/0502016v1,cs/0502016v1
Probabilistic and Team PFIN-type Learning: General Properties,Andris Ambainis,1,"We consider the probability hierarchy for Popperian FINite learning and study the general properties of this hierarchy. We prove that the probability hierarchy is decidable, i.e. there exists an algorithm that receives p_1 and p_2 and answers whether PFIN-type learning with the probability of success p_1 is equivalent to PFIN-type learning with the probability of success p_2.   To prove our result, we analyze the topological structure of the probability hierarchy. We prove that it is well-ordered in descending ordering and order-equivalent to ordinal epsilon_0. This shows that the structure of the hierarchy is very complicated.   Using similar methods, we also prove that, for PFIN-type learning, team learning and probabilistic learning are of the same power.",768,2005,"Journal of Computer and System Sciences, 74(4):457-489, 2008",arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0504001v1,https://arxiv.org/pdf/cs/0504001v1.pdf,http://arxiv.org/abs/cs/0504001v1,cs/0504001v1
Non-asymptotic calibration and resolution,Vladimir Vovk,1,"We analyze a new algorithm for probability forecasting of binary observations on the basis of the available data, without making any assumptions about the way the observations are generated. The algorithm is shown to be well calibrated and to have good resolution for long enough sequences of observations and for a suitable choice of its parameter, a kernel on the Cartesian product of the forecast space $[0,1]$ and the data space. Our main results are non-asymptotic: we establish explicit inequalities, shown to be tight, for the performance of the algorithm.",563,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0506004v4,https://arxiv.org/pdf/cs/0506004v4.pdf,http://arxiv.org/abs/cs/0506004v4,cs/0506004v4
Defensive forecasting for linear protocols,"Vladimir Vovk, Ilia Nouretdinov, Akimichi Takemura, Glenn Shafer",4,"We consider a general class of forecasting protocols, called ""linear protocols"", and discuss several important special cases, including multi-class forecasting. Forecasting is formalized as a game between three players: Reality, whose role is to generate observations; Forecaster, whose goal is to predict the observations; and Skeptic, who tries to make money on any lack of agreement between Forecaster's predictions and the actual observations. Our main mathematical result is that for any continuous strategy for Skeptic in a linear protocol there exists a strategy for Forecaster that does not allow Skeptic's capital to grow. This result is a meta-theorem that allows one to transform any continuous law of probability in a linear protocol into a forecasting strategy whose predictions are guaranteed to satisfy this law. We apply this meta-theorem to a weak law of large numbers in Hilbert spaces to obtain a version of the K29 prediction algorithm for linear protocols and show that this version also satisfies the attractive properties of proper calibration and resolution under a suitable choice of its kernel parameter, with no assumptions about the way the data is generated.",1187,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0506007v2,https://arxiv.org/pdf/cs/0506007v2.pdf,http://arxiv.org/abs/cs/0506007v2,cs/0506007v2
About one 3-parameter Model of Testing,Kromer Victor,1,"This article offers a 3-parameter model of testing, with 1) the difference between the ability level of the examinee and item difficulty; 2) the examinee discrimination and 3) the item discrimination as model parameters.",220,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0506057v2,https://arxiv.org/pdf/cs/0506057v2.pdf,http://arxiv.org/abs/cs/0506057v2,cs/0506057v2
On the Job Training,Jason E. Holt,1,"We propose a new framework for building and evaluating machine learning algorithms. We argue that many real-world problems require an agent which must quickly learn to respond to demands, yet can continue to perform and respond to new training throughout its useful life. We give a framework for how such agents can be built, describe several metrics for evaluating them, and show that subtle changes in system construction can significantly affect agent performance.",467,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0506085v1,https://arxiv.org/pdf/cs/0506085v1.pdf,http://arxiv.org/abs/cs/0506085v1,cs/0506085v1
Multiresolution Kernels,"Marco Cuturi, Kenji Fukumizu",2,"We present in this work a new methodology to design kernels on data which is structured with smaller components, such as text, images or sequences. This methodology is a template procedure which can be applied on most kernels on measures and takes advantage of a more detailed ""bag of components"" representation of the objects. To obtain such a detailed description, we consider possible decompositions of the original bag into a collection of nested bags, following a prior knowledge on the objects' structure. We then consider these smaller bags to compare two objects both in a detailed perspective, stressing local matches between the smaller bags, and in a global or coarse perspective, by considering the entire bag. This multiresolution approach is likely to be best suited for tasks where the coarse approach is not precise enough, and where a more subtle mixture of both local and global similarities is necessary to compare objects. The approach presented here would not be computationally tractable without a factorization trick that we introduce before presenting promising results on an image retrieval task.",1121,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0507033v2,https://arxiv.org/pdf/cs/0507033v2.pdf,http://arxiv.org/abs/cs/0507033v2,cs/0507033v2
Defensive Universal Learning with Experts,"Jan Poland, Marcus Hutter",2,"This paper shows how universal learning can be achieved with expert advice. To this aim, we specify an experts algorithm with the following characteristics: (a) it uses only feedback from the actions actually chosen (bandit setup), (b) it can be applied with countably infinite expert classes, and (c) it copes with losses that may grow in time appropriately slowly. We prove loss bounds against an adaptive adversary. From this, we obtain a master algorithm for ""reactive"" experts problems, which means that the master's actions may influence the behavior of the adversary. Our algorithm can significantly outperform standard experts algorithms on such problems. Finally, we combine it with a universal expert class. The resulting universal learner performs -- in a certain sense -- almost as well as any computable strategy, for any online decision problem. We also specify the (worst-case) convergence speed, which is very slow.",931,2005,"Proc. 16th International Conf. on Algorithmic Learning Theory (ALT
  2005) 356-370",arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0507044v1,https://arxiv.org/pdf/cs/0507044v1.pdf,http://arxiv.org/abs/cs/0507044v1,cs/0507044v1
FPL Analysis for Adaptive Bandits,Jan Poland,1,"A main problem of ""Follow the Perturbed Leader"" strategies for online decision problems is that regret bounds are typically proven against oblivious adversary. In partial observation cases, it was not clear how to obtain performance guarantees against adaptive adversary, without worsening the bounds. We propose a conceptually simple argument to resolve this problem. Using this, a regret bound of O(t^(2/3)) for FPL in the adversarial multi-armed bandit problem is shown. This bound holds for the common FPL variant using only the observations from designated exploration rounds. Using all observations allows for the stronger bound of O(t^(1/2)), matching the best bound known so far (and essentially the known lower bound) for adversarial bandits. Surprisingly, this variant does not even need explicit exploration, it is self-stabilizing. However the sampling probabilities have to be either externally provided or approximated to sufficient accuracy, using O(t^2 log t) samples in each step.",997,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0507062v1,https://arxiv.org/pdf/cs/0507062v1.pdf,http://arxiv.org/abs/cs/0507062v1,cs/0507062v1
Learning Optimal Augmented Bayes Networks,"Vikas Hamine, Paul Helman",2,"Naive Bayes is a simple Bayesian classifier with strong independence assumptions among the attributes. This classifier, desipte its strong independence assumptions, often performs well in practice. It is believed that relaxing the independence assumptions of a naive Bayes classifier may improve the classification accuracy of the resulting structure. While finding an optimal unconstrained Bayesian Network (for most any reasonable scoring measure) is an NP-hard problem, it is possible to learn in polynomial time optimal networks obeying various structural restrictions. Several authors have examined the possibilities of adding augmenting arcs between attributes of a Naive Bayes classifier. Friedman, Geiger and Goldszmidt define the TAN structure in which the augmenting arcs form a tree on the attributes, and present a polynomial time algorithm that learns an optimal TAN with respect to MDL score. Keogh and Pazzani define Augmented Bayes Networks in which the augmenting arcs form a forest on the attributes (a collection of trees, hence a relaxation of the stuctural restriction of TAN), and present heuristic search methods for learning good, though not optimal, augmenting arc sets. The authors, however, evaluate the learned structure only in terms of observed misclassification error and not against a scoring metric, such as MDL. In this paper, we present a simple, polynomial time greedy algorithm for learning an optimal Augmented Bayes Network with respect to MDL score.",1489,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0509055v1,https://arxiv.org/pdf/cs/0509055v1.pdf,http://arxiv.org/abs/cs/0509055v1,cs/0509055v1
Learning Unions of $ω(1)$-Dimensional Rectangles,"Alp Atici, Rocco A. Servedio",2,"We consider the problem of learning unions of rectangles over the domain $[b]^n$, in the uniform distribution membership query learning setting, where both b and n are ""large"". We obtain poly$(n, \log b)$-time algorithms for the following classes:   - poly$(n \log b)$-way Majority of $O(\frac{\log(n \log b)} {\log \log(n \log b)})$-dimensional rectangles.   - Union of poly$(\log(n \log b))$ many $O(\frac{\log^2 (n \log b)} {(\log \log(n \log b) \log \log \log (n \log b))^2})$-dimensional rectangles.   - poly$(n \log b)$-way Majority of poly$(n \log b)$-Or of disjoint $O(\frac{\log(n \log b)} {\log \log(n \log b)})$-dimensional rectangles.   Our main algorithmic tool is an extension of Jackson's boosting- and Fourier-based Harmonic Sieve algorithm [Jackson 1997] to the domain $[b]^n$, building on work of [Akavia, Goldwasser, Safra 2003]. Other ingredients used to obtain the results stated above are techniques from exact learning [Beimel, Kushilevitz 1998] and ideas from recent work on learning augmented $AC^{0}$ circuits [Jackson, Klivans, Servedio 2002] and on representing Boolean functions as thresholds of parities [Klivans, Servedio 2001].",1159,2005,"Theoretical Computer Science, Vol. 405, No. 3, 209--222 (2008)",arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0510038v4,https://arxiv.org/pdf/cs/0510038v4.pdf,http://arxiv.org/abs/cs/0510038v4,cs/0510038v4
On-line regression competitive with reproducing kernel Hilbert spaces,Vladimir Vovk,1,"We consider the problem of on-line prediction of real-valued labels, assumed bounded in absolute value by a known constant, of new objects from known labeled objects. The prediction algorithm's performance is measured by the squared deviation of the predictions from the actual labels. No stochastic assumptions are made about the way the labels and objects are generated. Instead, we are given a benchmark class of prediction rules some of which are hoped to produce good predictions. We show that for a wide range of infinite-dimensional benchmark classes one can construct a prediction algorithm whose cumulative loss over the first N examples does not exceed the cumulative loss of any prediction rule in the class plus O(sqrt(N)); the main differences from the known results are that we do not impose any upper bound on the norm of the considered prediction rules and that we achieve an optimal leading term in the excess loss of our algorithm. If the benchmark class is ""universal"" (dense in the class of continuous functions on each compact set), this provides an on-line non-stochastic analogue of universally consistent prediction in non-parametric statistics. We use two proof techniques: one is based on the Aggregating Algorithm and the other on the recently developed method of defensive forecasting.",1313,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0511058v2,https://arxiv.org/pdf/cs/0511058v2.pdf,http://arxiv.org/abs/cs/0511058v2,cs/0511058v2
Bounds on Query Convergence,Barak A. Pearlmutter,1,"The problem of finding an optimum using noisy evaluations of a smooth cost function arises in many contexts, including economics, business, medicine, experiment design, and foraging theory. We derive an asymptotic bound E[ (x_t - x*)^2 ] >= O(1/sqrt(t)) on the rate of convergence of a sequence (x_0, x_1, >...) generated by an unbiased feedback process observing noisy evaluations of an unknown quadratic function maximised at x*. The bound is tight, as the proof leads to a simple algorithm which meets it. We further establish a bound on the total regret, E[ sum_{i=1..t} (x_i - x*)^2 ] >= O(sqrt(t)) These bounds may impose practical limitations on an agent's performance, as O(eps^-4) queries are made before the queries converge to x* with eps accuracy.",759,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0511088v1,https://arxiv.org/pdf/cs/0511088v1.pdf,http://arxiv.org/abs/cs/0511088v1,cs/0511088v1
Preference Learning in Terminology Extraction: A ROC-based approach,"Jérôme Azé, Mathieu Roche, Yves Kodratoff, Michèle Sebag",4,"A key data preparation step in Text Mining, Term Extraction selects the terms, or collocation of words, attached to specific concepts. In this paper, the task of extracting relevant collocations is achieved through a supervised learning algorithm, exploiting a few collocations manually labelled as relevant/irrelevant. The candidate terms are described along 13 standard statistical criteria measures. From these examples, an evolutionary learning algorithm termed Roger, based on the optimization of the Area under the ROC curve criterion, extracts an order on the candidate terms. The robustness of the approach is demonstrated on two real-world domain applications, considering different domains (biology and human resources) and different languages (English and French).",775,2005,"Proceeedings of Applied Stochastic Models and Data Analysis (2005)
  209-219",arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0512050v1,https://arxiv.org/pdf/cs/0512050v1.pdf,http://arxiv.org/abs/cs/0512050v1,cs/0512050v1
Competing with wild prediction rules,Vladimir Vovk,1,"We consider the problem of on-line prediction competitive with a benchmark class of continuous but highly irregular prediction rules. It is known that if the benchmark class is a reproducing kernel Hilbert space, there exists a prediction algorithm whose average loss over the first N examples does not exceed the average loss of any prediction rule in the class plus a ""regret term"" of O(N^(-1/2)). The elements of some natural benchmark classes, however, are so irregular that these classes are not Hilbert spaces. In this paper we develop Banach-space methods to construct a prediction algorithm with a regret term of O(N^(-1/p)), where p is in [2,infty) and p-2 reflects the degree to which the benchmark class fails to be a Hilbert space.",743,2005,,arXiv Machine Learning,0,0,0,0,20.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0512059v2,https://arxiv.org/pdf/cs/0512059v2.pdf,http://arxiv.org/abs/cs/0512059v2,cs/0512059v2
"Genetic Programming, Validation Sets, and Parsimony Pressure","Christian Gagné, Marc Schoenauer, Marc Parizeau, Marco Tomassini",4,"Fitness functions based on test cases are very common in Genetic Programming (GP). This process can be assimilated to a learning task, with the inference of models from a limited number of samples. This paper is an investigation on two methods to improve generalization in GP-based learning: 1) the selection of the best-of-run individuals using a three data sets methodology, and 2) the application of parsimony pressure in order to reduce the complexity of the solutions. Results using GP in a binary classification setup show that while the accuracy on the test sets is preserved, with less variances compared to baseline results, the mean tree size obtained with the tested methods is significantly reduced.",711,2006,Dans EuroGP 2006,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0601044v1,https://arxiv.org/pdf/cs/0601044v1.pdf,http://arxiv.org/abs/cs/0601044v1,cs/0601044v1
Processing of Test Matrices with Guessing Correction,Kromer Victor,1,"It is suggested to insert into test matrix 1s for correct responses, 0s for response refusals, and negative corrective elements for incorrect responses. With the classical test theory approach test scores of examinees and items are calculated traditionally as sums of matrix elements, organized in rows and columns. Correlation coefficients are estimated using correction coefficients. In item response theory approach examinee and item logits are estimated using maximum likelihood method and probabilities of all matrix elements.",531,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0601087v1,https://arxiv.org/pdf/cs/0601087v1.pdf,http://arxiv.org/abs/cs/0601087v1,cs/0601087v1
Learning rational stochastic languages,"François Denis, Yann Esposito, Amaury Habrard",3,"Given a finite set of words w1,...,wn independently drawn according to a fixed unknown distribution law P called a stochastic language, an usual goal in Grammatical Inference is to infer an estimate of P in some class of probabilistic models, such as Probabilistic Automata (PA). Here, we study the class of rational stochastic languages, which consists in stochastic languages that can be generated by Multiplicity Automata (MA) and which strictly includes the class of stochastic languages generated by PA. Rational stochastic languages have minimal normal representation which may be very concise, and whose parameters can be efficiently estimated from stochastic samples. We design an efficient inference algorithm DEES which aims at building a minimal normal representation of the target. Despite the fact that no recursively enumerable class of MA computes exactly the set of rational stochastic languages over Q, we show that DEES strongly identifies tis set in the limit. We study the intermediary MA output by DEES and show that they compute rational series which converge absolutely to one and which can be used to provide stochastic languages which closely estimate the target.",1188,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0602062v1,https://arxiv.org/pdf/cs/0602062v1.pdf,http://arxiv.org/abs/cs/0602062v1,cs/0602062v1
General Discounting versus Average Reward,Marcus Hutter,1,"Consider an agent interacting with an environment in cycles. In every interaction cycle the agent is rewarded for its performance. We compare the average reward U from cycle 1 to m (average value) with the future discounted reward V from cycle k to infinity (discounted value). We consider essentially arbitrary (non-geometric) discount sequences and arbitrary reward sequences (non-MDP environments). We show that asymptotically U for m->infinity and V for k->infinity are equal, provided both limits exist. Further, if the effective horizon grows linearly with k or faster, then existence of the limit of U implies that the limit of V exists. Conversely, if the effective horizon grows linearly with k or slower, then existence of the limit of V implies that the limit of U exists.",783,2006,"Proc. 17th International Conf. on Algorithmic Learning Theory (ALT
  2006) pages 244-258",arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0605040v1,https://arxiv.org/pdf/cs/0605040v1.pdf,http://arxiv.org/abs/cs/0605040v1,cs/0605040v1
On Sequence Prediction for Arbitrary Measures,"Daniil Ryabko, Marcus Hutter",2,"Suppose we are given two probability measures on the set of one-way infinite finite-alphabet sequences and consider the question when one of the measures predicts the other, that is, when conditional probabilities converge (in a certain sense) when one of the measures is chosen to generate the sequence. This question may be considered a refinement of the problem of sequence prediction in its most general formulation: for a given class of probability measures, does there exist a measure which predicts all of the measures in the class? To address this problem, we find some conditions on local absolute continuity which are sufficient for prediction and which generalize several different notions which are known to be sufficient for prediction. We also formulate some open questions to outline a direction for finding the conditions on classes of measures for which prediction is possible.",894,2006,"Proc. IEEE International Symposium on Information Theory (ISIT
  2007) pages 2346-2350",arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0606077v1,https://arxiv.org/pdf/cs/0606077v1.pdf,http://arxiv.org/abs/cs/0606077v1,cs/0606077v1
Predictions as statements and decisions,Vladimir Vovk,1,"Prediction is a complex notion, and different predictors (such as people, computer programs, and probabilistic theories) can pursue very different goals. In this paper I will review some popular kinds of prediction and argue that the theory of competitive on-line learning can benefit from the kinds of prediction that are now foreign to it.",341,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0606093v1,https://arxiv.org/pdf/cs/0606093v1.pdf,http://arxiv.org/abs/cs/0606093v1,cs/0606093v1
PAC Classification based on PAC Estimates of Label Class Distributions,"Nick Palmer, Paul W. Goldberg",2,"A standard approach in pattern classification is to estimate the distributions of the label classes, and then to apply the Bayes classifier to the estimates of the distributions in order to classify unlabeled examples. As one might expect, the better our estimates of the label class distributions, the better the resulting classifier will be. In this paper we make this observation precise by identifying risk bounds of a classifier in terms of the quality of the estimates of the label class distributions. We show how PAC learnability relates to estimates of the distributions that have a PAC guarantee on their $L_1$ distance from the true distribution, and we bound the increase in negative log likelihood risk in terms of PAC bounds on the KL-divergence. We give an inefficient but general-purpose smoothing method for converting an estimated distribution that is good under the $L_1$ metric into a distribution that is good under the KL-divergence.",955,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0607047v1,https://arxiv.org/pdf/cs/0607047v1.pdf,http://arxiv.org/abs/cs/0607047v1,cs/0607047v1
Competing with stationary prediction strategies,Vladimir Vovk,1,"In this paper we introduce the class of stationary prediction strategies and construct a prediction algorithm that asymptotically performs as well as the best continuous stationary strategy. We make mild compactness assumptions but no stochastic assumptions about the environment. In particular, no assumption of stationarity is made about the environment, and the stationarity of the considered strategies only means that they do not depend explicitly on time; we argue that it is natural to consider only stationary strategies even for highly non-stationary environments.",573,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0607067v1,https://arxiv.org/pdf/cs/0607067v1.pdf,http://arxiv.org/abs/cs/0607067v1,cs/0607067v1
Using Pseudo-Stochastic Rational Languages in Probabilistic Grammatical Inference,"Amaury Habrard, Francois Denis, Yann Esposito",3,"In probabilistic grammatical inference, a usual goal is to infer a good approximation of an unknown distribution P called a stochastic language. The estimate of P stands in some class of probabilistic models such as probabilistic automata (PA). In this paper, we focus on probabilistic models based on multiplicity automata (MA). The stochastic languages generated by MA are called rational stochastic languages; they strictly include stochastic languages generated by PA; they also admit a very concise canonical representation. Despite the fact that this class is not recursively enumerable, it is efficiently identifiable in the limit by using the algorithm DEES, introduced by the authors in a previous paper. However, the identification is not proper and before the convergence of the algorithm, DEES can produce MA that do not define stochastic languages. Nevertheless, it is possible to use these MA to define stochastic languages. We show that they belong to a broader class of rational series, that we call pseudo-stochastic rational languages. The aim of this paper is twofold. First we provide a theoretical study of pseudo-stochastic rational languages, the languages output by DEES, showing for example that this class is decidable within polynomial time. Second, we have carried out a lot of experiments in order to compare DEES to classical inference algorithms such as ALERGIA and MDI. They show that DEES outperforms them in most cases.",1453,2006,"8th International Colloquium on Grammatical Inference (ICGI'06),
  Japan (2006)",arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0607085v2,https://arxiv.org/pdf/cs/0607085v2.pdf,http://arxiv.org/abs/cs/0607085v2,cs/0607085v2
Logical settings for concept learning from incomplete examples in First Order Logic,"Dominique Bouthinon, Henry Soldano, Véronique Ventos",3,"We investigate here concept learning from incomplete examples. Our first purpose is to discuss to what extent logical learning settings have to be modified in order to cope with data incompleteness. More precisely we are interested in extending the learning from interpretations setting introduced by L. De Raedt that extends to relational representations the classical propositional (or attribute-value) concept learning from examples framework. We are inspired here by ideas presented by H. Hirsh in a work extending the Version space inductive paradigm to incomplete data. H. Hirsh proposes to slightly modify the notion of solution when dealing with incomplete examples: a solution has to be a hypothesis compatible with all pieces of information concerning the examples. We identify two main classes of incompleteness. First, uncertainty deals with our state of knowledge concerning an example. Second, generalization (or abstraction) deals with what part of the description of the example is sufficient for the learning purpose. These two main sources of incompleteness can be mixed up when only part of the useful information is known. We discuss a general learning setting, referred to as ""learning from possibilities"" that formalizes these ideas, then we present a more specific learning setting, referred to as ""assumption-based learning"" that cope with examples which uncertainty can be reduced when considering contextual information outside of the proper description of the examples. Assumption-based learning is illustrated on a recent work concerning the prediction of a consensus secondary structure common to a set of RNA sequences.",1649,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0607096v1,https://arxiv.org/pdf/cs/0607096v1.pdf,http://arxiv.org/abs/cs/0607096v1,cs/0607096v1
"A Theory of Probabilistic Boosting, Decision Trees and Matryoshki",Etienne Grossmann,1,"We present a theory of boosting probabilistic classifiers. We place ourselves in the situation of a user who only provides a stopping parameter and a probabilistic weak learner/classifier and compare three types of boosting algorithms: probabilistic Adaboost, decision tree, and tree of trees of ... of trees, which we call matryoshka. ""Nested tree,"" ""embedded tree"" and ""recursive tree"" are also appropriate names for this algorithm, which is one of our contributions. Our other contribution is the theoretical analysis of the algorithms, in which we give training error bounds. This analysis suggests that the matryoshka leverages probabilistic weak classifiers more efficiently than simple decision trees.",708,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0607110v1,https://arxiv.org/pdf/cs/0607110v1.pdf,http://arxiv.org/abs/cs/0607110v1,cs/0607110v1
Leading strategies in competitive on-line prediction,Vladimir Vovk,1,"We start from a simple asymptotic result for the problem of on-line regression with the quadratic loss function: the class of continuous limited-memory prediction strategies admits a ""leading prediction strategy"", which not only asymptotically performs at least as well as any continuous limited-memory strategy but also satisfies the property that the excess loss of any continuous limited-memory strategy is determined by how closely it imitates the leading strategy. More specifically, for any class of prediction strategies constituting a reproducing kernel Hilbert space we construct a leading strategy, in the sense that the loss of any prediction strategy whose norm is not too large is determined by how closely it imitates the leading strategy. This result is extended to the loss functions given by Bregman divergences and by strictly proper scoring rules.",866,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0607134v1,https://arxiv.org/pdf/cs/0607134v1.pdf,http://arxiv.org/abs/cs/0607134v1,cs/0607134v1
Competing with Markov prediction strategies,Vladimir Vovk,1,"Assuming that the loss function is convex in the prediction, we construct a prediction strategy universal for the class of Markov prediction strategies, not necessarily continuous. Allowing randomization, we remove the requirement of convexity.",244,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0607136v1,https://arxiv.org/pdf/cs/0607136v1.pdf,http://arxiv.org/abs/cs/0607136v1,cs/0607136v1
A Study on Learnability for Rigid Lambek Grammars,Roberto Bonato,1,"We present basic notions of Gold's ""learnability in the limit"" paradigm, first presented in 1967, a formalization of the cognitive process by which a native speaker gets to grasp the underlying grammar of his/her own native language by being exposed to well formed sentences generated by that grammar. Then we present Lambek grammars, a formalism issued from categorial grammars which, although not as expressive as needed for a full formalization of natural languages, is particularly suited to easily implement a natural interface between syntax and semantics. In the last part of this work, we present a learnability result for Rigid Lambek grammars from structured examples.",678,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0608033v1,https://arxiv.org/pdf/cs/0608033v1.pdf,http://arxiv.org/abs/cs/0608033v1,cs/0608033v1
A Massive Local Rules Search Approach to the Classification Problem,"Vladislav Malyshkin, Ray Bakhramov, Andrey Gorodetsky",3,"An approach to the classification problem of machine learning, based on building local classification rules, is developed. The local rules are considered as projections of the global classification rules to the event we want to classify. A massive global optimization algorithm is used for optimization of quality criterion. The algorithm, which has polynomial complexity in typical case, is used to find all high--quality local rules. The other distinctive feature of the algorithm is the integration of attributes levels selection (for ordered attributes) with rules searching and original conflicting rules resolution strategy. The algorithm is practical; it was tested on a number of data sets from UCI repository, and a comparison with the other predicting techniques is presented.",786,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0609007v1,https://arxiv.org/pdf/cs/0609007v1.pdf,http://arxiv.org/abs/cs/0609007v1,cs/0609007v1
Metric entropy in competitive on-line prediction,Vladimir Vovk,1,"Competitive on-line prediction (also known as universal prediction of individual sequences) is a strand of learning theory avoiding making any stochastic assumptions about the way the observations are generated. The predictor's goal is to compete with a benchmark class of prediction rules, which is often a proper Banach function space. Metric entropy provides a unifying framework for competitive on-line prediction: the numerous known upper bounds on the metric entropy of various compact sets in function spaces readily imply bounds on the performance of on-line prediction strategies. This paper discusses strengths and limitations of the direct approach to competitive on-line prediction via metric entropy, including comparisons to other approaches.",756,2006,,arXiv Machine Learning,0,0,0,0,19.5,Machine Learning,cs.LG,https://arxiv.org/abs/cs/0609045v1,https://arxiv.org/pdf/cs/0609045v1.pdf,http://arxiv.org/abs/cs/0609045v1,cs/0609045v1
